SUP_FAM	CHR	START	END	FAM	COL6	COL7
mdg3	2L	635387	640631	LTR/Gypsy	1	1225000
roo	2L	1865631	1874728	LTR/Pao	-1	48166
copia	2L	1922894	1928040	LTR/Copia	48166	53426
FB	2L	1981466	1984231	DNA/TcMar-Tc1	-359	165189
roo	2L	2149420	2157941	LTR/Pao	-1	18989
jockey	2L	2176930	2181971	LINE/I-Jockey	18989	210784
flea	2L	2392755	2397772	LTR/Gypsy	1	84191
hobo	2L	2481963	2484978	DNA/hAT-hobo	84191	100974
invader2	2L	2585952	2586297	LTR/Unknown	100974	6467
jockey	2L	2592764	2595488	LINE/I-Jockey	6467	114725
BS	2L	2710213	2710289	LINE/I-Jockey	114725	14151
copia	2L	2724440	2729586	LTR/Copia	14151	48327
roo	2L	2777913	2786893	LTR/Pao	-1	142901
BS	2L	2929794	2930502	LINE/I-Jockey	142901	21168
jockey	2L	2951670	2954884	LINE/I-Jockey	21168	62696
297	2L	3017580	3024588	LTR/Gypsy	-16	15234
pogo	2L	3039822	3041947	DNA/TcMar-Pogo	15234	229921
1360	2L	3271868	3271916	DNA/P	229921	697900
jockey	2L	3969816	3974840	LINE/I-Jockey	697900	286458
Doc	2L	4384408	4389100	LINE/I-Jockey	117702	123556
jockey	2L	4512656	4514647	LINE/I-Jockey	-3	324475
ambiguous	2L	4839122	4839197	DNA/hAT-hobo	324475	20845
G2	2L	4860042	4860093	LINE/I-Jockey	20845	182259
S2	2L	5042352	5042469	LTR/Gypsy	182259	117828
roo	2L	5160297	5160589	LTR/Pao	117828	295945
F-element	2L	5456534	5457481	LINE/I-Jockey	295945	315992
jockey	2L	5773473	5773875	LINE/I-Jockey	315992	6329
412	2L	5780204	5787659	LTR/Gypsy	1	92334
1360	2L	5879993	5880034	DNA/P	92334	162741
Doc	2L	6042775	6047420	LINE/I-Jockey	162741	12881
blood	2L	6060301	6060352	LTR/Gypsy	12881	115937
S	2L	6176289	6176865	DNA/TcMar-Tc1	9	441951
FB	2L	6618816	6623833	DNA/TcMar-Tc1	-359	108135
1360	2L	6731968	6733517	DNA/P	-54	78038
blood	2L	6811555	6818966	LTR/Gypsy	84	132129
hopper	2L	6951095	6951818	DNA/CMC-Transib	132129	76300
1731	2L	7028118	7028185	LTR/Copia	76300	1170
mdg1	2L	7029355	7029405	LTR/Gypsy	1170	570341
FB	2L	7599746	7604605	DNA/TcMar-Tc1	-269	24200
BS	2L	7628805	7628923	LINE/I-Jockey	24200	39189
rover	2L	7829637	7837106	LTR/Gypsy	-15	191549
roo	2L	8028655	8037755	LTR/Pao	-1	356790
opus	2L	8394545	8402151	LTR/Gypsy	1	423777
G4	2L	8825928	8826126	LINE/I-Jockey	423777	182878
